batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputurl,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2117766,3B286OTISEBSM1NPHNI57Y35UB8AJ9,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:32 PDT 2015,,,3NPFYT4IZDYXEW3BBUUIIDH6R1BGXK,Approved,,597,100% (14/14),100% (14/14),100% (14/14),,,54588,Carlos Guerrero,University of California San Diego,ucsd.edu,,,,1,1|,http://www-chem.ucsd.edu/faculty/profiles/guerrero_carlos_a.html,,,,1759993712000,09oct2015 07:12:25,09oct2015 07:22:22,1760023342000,1759994726000,,14,993,70.928574,7.6132927,1
2117766,3P888QFVX3OYASL3MW7W5UZWXN3OQC,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:34 PDT 2015,,,3H7XDTSHKDLIPWYL1PYWGU3ZIZ5GWR,Approved,,388,100% (14/14),100% (14/14),100% (14/14),,,41167,Jason I Abrevaya,Purdue University,purdue.edu,,,,1,1|,http://www.krannert.purdue.edu/konline/spring2003/faculty/abrevaya.asp,,,,1759993714000,09oct2015 07:12:09,09oct2015 07:18:37,1760023117000,1759994361000,,14,993,70.928574,7.6132927,1
2117766,3O2Y2UIUCQOITCAFAO49MEE96GLFKQ,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:30 PDT 2015,,,32VNZTT0A8YX5KOF7UMPK6YF0FHR4C,Approved,,554,100% (14/14),100% (14/14),100% (14/14),,,36980,Dwight L Jaggard,University of Pennsylvania,upenn.edu,,,,1,1|,http://www.seas.upenn.edu/~jaggard/,,,,1759993710000,09oct2015 07:12:22,09oct2015 07:21:36,1760023296000,1759994583000,,14,993,70.928574,7.6132927,1
2117766,3TX9T2ZCB9VFTTVW0EHJDHOM5SNWZQ,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:29 PDT 2015,,,3TUI152ZZCHG1KCW7XENHIH7S961Q9,Approved,,362,100% (14/14),100% (14/14),100% (14/14),,,34542,Kornel F Ehmann,Northwestern University,northwestern.edu,,,,1,3|,http://ampl.mech.northwestern.edu/faculty/kornel-ehmann/Ehmanncv.pdf,,,,1759993709000,09oct2015 07:12:06,09oct2015 07:18:08,1760023088000,1759994354000,,14,993,70.928574,7.6132927,1
2117766,3DFYDSXB2WUC1A1NNSZW7ZFZ1EZUJ4,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:32 PDT 2015,,,3IAEQB9FMFEFDCOUZZXOA90257PDWE,Approved,,421,100% (14/14),100% (14/14),100% (14/14),,,51157,Abdelmonem A Afifi,University of California Los Angeles,ucla.edu,,,,1,5|biography/homepage,http://www.ph.ucla.edu/sciprc/Templates/BIOS/11_bio_afifi.htm,,,,1759993712000,09oct2015 07:12:11,09oct2015 07:19:12,1760023152000,1759994377000,,14,993,70.928574,7.6132927,1
2117766,3I01FDIL6M2QECSTUC3FYIPUD3JD2R,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:32 PDT 2015,,,3570Y55XZQDME1TLGQGK1ROFT74YG7,Approved,,816,100% (14/14),100% (14/14),100% (14/14),,,31887,Friedrich Ulfers,New York University,nyu.edu,,,,1,1|,http://german.as.nyu.edu/object/friedrichulfers.html,,,,1759993712000,09oct2015 07:12:35,09oct2015 07:26:11,1760023571000,1759994804000,,14,993,70.928574,7.6132927,1
2117766,3MA5N0ATTC5K4YWA0DE9Q2091JBKWT,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:33 PDT 2015,,,36AHBNMV1S6J2HJUE0FCV6LIGFOYDX,Approved,,533,100% (14/14),100% (14/14),100% (14/14),,,67517,Susan Cook,University of Wisconsin Madison,wisc.edu,,,,1,1|,http://experts.news.wisc.edu/experts/654,,,,1759993713000,09oct2015 07:12:19,09oct2015 07:21:12,1760023272000,1759994583000,,14,993,70.928574,7.6132927,1
2117766,33Q5P9PUSPG6FVPRJNHI1NHJDC6CZY,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:30 PDT 2015,,,3SLE99ER0O7QSAVFWQQPEN6KJOHBZV,Approved,,198,100% (14/14),100% (14/14),100% (14/14),,,30915,Uwe Kortshagen,University of Minnesota,umn.edu,,,,1,1|,http://www.me.umn.edu/people/kortshagen.shtml,,,,1759993710000,09oct2015 07:11:59,09oct2015 07:15:17,1760022917000,1759994275000,,14,993,70.928574,7.6132927,1
2117766,3BO3NEOQM0BWRQ3JZ5X5VXO5HWJAIX,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:31 PDT 2015,,,3GDTJDAPVV57R5YPEPGLFJKAWEEM8Q,Approved,,860,100% (14/14),100% (14/14),100% (14/14),,,37255,Jesus F Villaverde,University of Pennsylvania,upenn.edu,,,,1,1|,http://economics.sas.upenn.edu/~jesusfv/,,,,1759993711000,09oct2015 07:14:10,09oct2015 07:28:30,1760023710000,1759994984000,,14,993,70.928574,7.6132927,1
2117766,3LAZVA75NILHI9JIKLHV9C1THHQ2OD,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:33 PDT 2015,,,3CFJTT4SXUKHV83FJ5QN9QHY4LP7I9,Approved,,840,100% (14/14),100% (14/14),100% (14/14),,,48415,Dina S Clair,University of California Davis,ucdavis.edu,,,,1,1|,http://biosci3.ucdavis.edu/Faculty/Profile/View/14150,,,,1759993713000,09oct2015 07:12:39,09oct2015 07:26:39,1760023599000,1759994874000,,14,993,70.928574,7.6132927,1
2117766,3RSBJ6YZECK1J3VU8GW2TVVIQLVFOA,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:32 PDT 2015,,,3WLEIWSYHPBADCVP7BR7DNZBTSNH29,Approved,,897,100% (14/14),100% (14/14),100% (14/14),,,14723,Leila Ahmed,Harvard University,harvard.edu,,,,1,1|,http://hds.harvard.edu/people/leila-ahmed,,,,1759993712000,09oct2015 07:12:45,09oct2015 07:27:42,1760023662000,1759994984000,,14,993,70.928574,7.6132927,1
2117766,378G7J1SJLSHIY404R36S7N4HMEEW2,34LHDG0NEV75BVFYYAWZJFMLY0OSA4,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.15,1,BatchId:2117766;,900,28800,Mon Oct 12 07:08:31 PDT 2015,,,3LKC68YZ3BX6H9FJP8B4L3C19LWWOU,Approved,,671,100% (14/14),100% (14/14),100% (14/14),,,15587,Benjamin J Lough,University of Illinois at Urbana-Champaign,illinois.edu,,,,1,1|,http://socialwork.illinois.edu/faculty-staff/benjamin-lough/,,,,1759993711000,09oct2015 07:12:31,09oct2015 07:23:42,1760023422000,1759994733000,,14,993,70.928574,7.6132927,1
