batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputdupct,inputurl,answerothertxt,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2127698,368IUKXGA52NLAEKMN6DOPNV89X6PP,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:42 PDT 2015,,,30MVJZJNHN7H42BEGK97ZNN4DW7J9R,Approved,,60,100% (55/55),100% (55/55),100% (41/41),,,6492,Ernest Drucker,City University of New York,cuny.edu,Sociology</li>&nbsp;<li>Criminal Justice</li>&nbsp;<li>Family Social Science</li>&nbsp;<li>Family and Consumer Sciences</li>&nbsp;<li>Family Studies</li>&nbsp;<li>Human Ecology</li>&nbsp;<li>Gerontology</li>&nbsp;<li>Sociology and Anthropology</li>&nbsp;<li>Demography</li>&nbsp;<li>Family and Human Development,Sociology,1,,,1,4,http://justpublics365.commons.gc.cuny.edu/2013/12/10/special-interview-ernie-drucker/,,,,1760785062000,18oct2015 11:12:22,18oct2015 11:13:22,1760793202000,1760786211000,,41,1494,36.439026,13.831325,1
2127698,3PR3LXCWSFTFC2I96LJ62C0009E9XR,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:37 PDT 2015,,,3GA6AFUKOPIZYUR8BB5CWX430CTH33,Approved,,559,100% (55/55),100% (55/55),100% (41/41),,,5081,Oliver P John,University of California Berkeley,berkeley.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://psychology.berkeley.edu/people/oliver-p-john,,,,1760785057000,18oct2015 11:12:39,18oct2015 11:21:58,1760793718000,1760786732000,,41,1494,36.439026,13.831325,1
2127763,33N1S8XHHMFMSSFT3QSYKRYSAXQ1Z9,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:53 PDT 2015,,,32XVDSJFP0RW5QW0Y87K5S77BKX2MR,Approved,,27,100% (63/63),100% (63/63),100% (49/49),,,20682,Paul A Romitti,University of Iowa,uiowa.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.public-health.uiowa.edu/epi-faculty-list/,,,,,1,,,1760791013000,18oct2015 12:42:02,18oct2015 12:42:29,1760798549000,1760791571000,,6,298,49.666668,4.3489933,1
2127763,3P4ZBJFX2VX9OC4WZ2NCAP84U54WFE,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:51 PDT 2015,,,3RGU30DZTB2WBMU85TDC49TODVJMJY,Approved,,13,100% (63/63),100% (63/63),100% (49/49),,,14906,Michele Lamont,Harvard University,harvard.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://scholar.harvard.edu/lamont/publications,,,,,1,,,1760791011000,18oct2015 12:39:51,18oct2015 12:40:04,1760798404000,1760791535000,,6,298,49.666668,4.3489933,1
2127698,3VW0145YLY6TO2WEEQ8AGPY5PA6MJF,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:43 PDT 2015,,,3B837J3LDPQG75QQXVI7I9ELF1PSR2,Approved,,25,100% (55/55),100% (55/55),100% (41/41),,,62411,Suzanne Wenzel,University of Southern California,usc.edu,Social Welfare</li>&nbsp;<li>Social Work,Social Work,1,,,1,1,https://sowkweb.usc.edu/faculty/suzanne-wenzel,,,,1760785063000,18oct2015 11:11:13,18oct2015 11:11:38,1760793098000,1760785946000,,41,1494,36.439026,13.831325,1
2127766,35O6H0UNLSAVGVB8MRROZNNJ3FJ5JB,3D92QE1HWKMN8Q14BXBKFG8EGWQ38K,Verify professor field,Use link to verify professor's field of study or teaching,"data collection, university, verification",.06,1,BatchId:2127766;,900,28800,Tue Oct 20 12:38:45 PDT 2015,,,3SB5N7Y3O4YPH6X08I5B9ZUVI01G0D,Approved,,35,100% (63/63),100% (63/63),100% (49/49),,,20100,J T Leverty,University of Iowa,uiowa.edu,"Statistics</li><li>Statistical Science</li><li>Measurement, Statistics and Evaluation</li><li>Statistics and Applied Probability</li><li>Biostatistics - Public Health</li><li>Survey Methodology</li><li>Mathematical Statistics</li><li>Measurement and Quantitative Methods</li><li>Biostatistics and Public Health</li><li>Biostatistics",Statistics and Probability,1,http://tippie.uiowa.edu/vaughan/newsletter/spr13_leverty.html,,,,,,99,,1760791125000,18oct2015 12:43:57,18oct2015 12:44:32,1760820272000,1760792321000,,2,88,44,4.909091,1
2127698,33P2GD6NRNM2781L5ES9PZQMND7KH3,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:47 PDT 2015,,,3FPRZHYEPZ14GVMSG0MGBYVC8R33VE,Approved,,23,100% (55/55),100% (55/55),100% (41/41),,,44739,J J Lagowski,University of Texas Austin,utexas.edu,"Education</li>&nbsp;<li>Teaching and Learning</li>&nbsp;<li>Teaching and Teacher Education</li>&nbsp;<li>Teacher Education</li>&nbsp;<li>Work, Community and Family Education</li>&nbsp;<li>Science Education</li>&nbsp;<li>Science and Mathematics Education</li>&nbsp;<li>Teaching and Learning, Policy and Leadership</li>&nbsp;<li>Teaching, Learning, Policy and Leadership</li>&nbsp;<li>Education Teaching and Learning",Teacher Education and Professional Development,1,,,1,3,http://www.utexas.edu/research/chemed/lagowski/jjl.html,,,,1760785067000,18oct2015 11:03:56,18oct2015 11:04:19,1760792659000,1760785572000,,41,1494,36.439026,13.831325,1
2127698,3WRAAIUSBJTTHLSEYRX6Y7BK6RXAX8,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:52 PDT 2015,,,3DY46V3X3QCQWGUHOSSWMXZX9ZT550,Approved,,34,100% (55/55),100% (55/55),100% (41/41),,,61337,Frances J Richmond,University of Southern California,usc.edu,"Public Policy and Administration</li>&nbsp;<li>Public Policy</li>&nbsp;<li>Health Services</li>&nbsp;<li>Public Administration</li>&nbsp;<li>Public Affairs</li>&nbsp;<li>Policy, Planning and Development</li>&nbsp;<li>Social Service Administration</li>&nbsp;<li>Public Policy Studies</li>&nbsp;<li>Education and Social Policy - Learning Sciences</li>&nbsp;<li>Health Policy And Management</li>&nbsp;<li>Social Policy to Education and Social Policy - Human Development and Social Policy</li>&nbsp;<li>Public and International Affairs</li>&nbsp;<li>Health Policy</li>&nbsp;<li>Energy and Resources</li>&nbsp;<li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,,,1,4,http://pharmacyschool.usc.edu/profiles/frances-j-richmond-ph-d/,,,,1760785072000,18oct2015 11:07:14,18oct2015 11:07:48,1760792868000,1760785818000,,41,1494,36.439026,13.831325,1
2127698,3R5LWXWHR02URC5HKRPGUTMN4M9XG6,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:37 PDT 2015,,,3GGAI1SQEWS938O2V1WQH5GTNB4CM4,Approved,,725,100% (55/55),100% (55/55),100% (41/41),,,43280,Eduardo M Iii,State University of New York Buffalo,buffalo.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://psychology.buffalo.edu/about-us/faculty/mercado/,,,,1760785057000,18oct2015 11:12:44,18oct2015 11:24:49,1760793889000,1760786810000,,41,1494,36.439026,13.831325,1
2127698,3S8APUMBJXDH096L4BRGNBVJK4LFBG,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:52 PDT 2015,,,33TIN5LC0547ZR6D2KAA9A2SQ0F9YA,Approved,,633,100% (55/55),100% (55/55),100% (41/41),,,62490,Tridib Banerjee,University of Southern California,usc.edu,"Public Policy and Administration</li>&nbsp;<li>Public Policy</li>&nbsp;<li>Health Services</li>&nbsp;<li>Public Administration</li>&nbsp;<li>Public Affairs</li>&nbsp;<li>Policy, Planning and Development</li>&nbsp;<li>Social Service Administration</li>&nbsp;<li>Public Policy Studies</li>&nbsp;<li>Education and Social Policy - Learning Sciences</li>&nbsp;<li>Health Policy And Management</li>&nbsp;<li>Social Policy to Education and Social Policy - Human Development and Social Policy</li>&nbsp;<li>Public and International Affairs</li>&nbsp;<li>Health Policy</li>&nbsp;<li>Energy and Resources</li>&nbsp;<li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,,,1,1,http://priceschool.usc.edu/tridib-banerjee/,,,,1760785072000,18oct2015 11:12:41,18oct2015 11:23:14,1760793794000,1760786810000,,41,1494,36.439026,13.831325,1
