id,name,university,domain,depts,field,dupct
4695,Kathleen E Metz,University of California Berkeley,berkeley.edu,"Education</li>&nbsp;<li>Teaching and Learning</li>&nbsp;<li>Teaching and Teacher Education</li>&nbsp;<li>Teacher Education</li>&nbsp;<li>Work, Community and Family Education</li>&nbsp;<li>Science Education</li>&nbsp;<li>Science and Mathematics Education</li>&nbsp;<li>Teaching and Learning, Policy and Leadership</li>&nbsp;<li>Teaching, Learning, Policy and Leadership</li>&nbsp;<li>Education Teaching and Learning",Teacher Education and Professional Development,2
57992,Danyu Lin,University of North Carolina Chapel Hill,unc.edu,"Statistics</li>&nbsp;<li>Statistical Science</li>&nbsp;<li>Measurement, Statistics and Evaluation</li>&nbsp;<li>Statistics and Applied Probability</li>&nbsp;<li>Biostatistics - Public Health</li>&nbsp;<li>Survey Methodology</li>&nbsp;<li>Mathematical Statistics</li>&nbsp;<li>Measurement and Quantitative Methods</li>&nbsp;<li>Biostatistics and Public Health</li>&nbsp;<li>Biostatistics",Statistics and Probability,2
49913,Wolfgang Polonik,University of California Davis,ucdavis.edu,"Statistics</li>&nbsp;<li>Statistical Science</li>&nbsp;<li>Measurement, Statistics and Evaluation</li>&nbsp;<li>Statistics and Applied Probability</li>&nbsp;<li>Biostatistics - Public Health</li>&nbsp;<li>Survey Methodology</li>&nbsp;<li>Mathematical Statistics</li>&nbsp;<li>Measurement and Quantitative Methods</li>&nbsp;<li>Biostatistics and Public Health</li>&nbsp;<li>Biostatistics",Statistics and Probability,2
60417,Stephen Messier,University of North Carolina Chapel Hill,unc.edu,Occupational Science</li>&nbsp;<li>Human Movement Science</li>&nbsp;<li>Biokinesiology and Physical Therapy</li>&nbsp;<li>Rehabilitation Science</li>&nbsp;<li>Biokinesiology</li>&nbsp;<li>Rehabilitation Psychology</li>&nbsp;<li>Health and Rehabilitation Sciences</li>&nbsp;<li>Occupational Therapy</li>&nbsp;<li>Rehabilitation Counselor Education</li>&nbsp;<li>Physical Rehabilitation Science,Rehabilitation and Therapy,2
56384,Terry Cronan,University of California San Diego,ucsd.edu,Epidemiology</li>&nbsp;<li>Public Health</li>&nbsp;<li>Environmental Health Science</li>&nbsp;<li>Health Sciences</li>&nbsp;<li>Maternal and Child Health</li>&nbsp;<li>Environmental Health</li>&nbsp;<li>Health Behavior and Health Education</li>&nbsp;<li>Epidemiology and Biostatistics</li>&nbsp;<li>Biological Sciences in Public Health</li>&nbsp;<li>Health Behavior and Education</li>&nbsp;<li>International Health</li>&nbsp;<li>Public and Community Health</li>&nbsp;<li>Health Informatics</li>&nbsp;<li>Occupational and Environmental Health</li>&nbsp;<li>Population Health</li>&nbsp;<li>Public Health (Epidemiology)</li>&nbsp;<li>Public Health (Health Behavior)</li>&nbsp;<li>Clinical Investigation,Public Health,2
57798,Charles Becker,University of North Carolina Chapel Hill,unc.edu,"Public Policy and Administration</li>&nbsp;<li>Public Policy</li>&nbsp;<li>Health Services</li>&nbsp;<li>Public Administration</li>&nbsp;<li>Public Affairs</li>&nbsp;<li>Policy, Planning and Development</li>&nbsp;<li>Social Service Administration</li>&nbsp;<li>Public Policy Studies</li>&nbsp;<li>Education and Social Policy - Learning Sciences</li>&nbsp;<li>Health Policy And Management</li>&nbsp;<li>Social Policy to Education and Social Policy - Human Development and Social Policy</li>&nbsp;<li>Public and International Affairs</li>&nbsp;<li>Health Policy</li>&nbsp;<li>Energy and Resources</li>&nbsp;<li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",2
12473,Scott N Compton,Duke University,duke.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,2
26175,Fred Alford,University of Maryland College Park,umd.edu,Political Science</li>&nbsp;<li>Politics</li>&nbsp;<li>Government and Politics</li>&nbsp;<li>Government</li>&nbsp;<li>International Relations</li>&nbsp;<li>Political Economy and Public Policy</li>&nbsp;<li>Political Science and International Affairs</li>&nbsp;<li>Political Economy and Government</li>&nbsp;<li>International Relations and Public Administration,Political Science,2
65759,Bob Lutfi,University of Wisconsin Madison,wisc.edu,"Physics</li>&nbsp;<li>Physics and Astronomy</li>&nbsp;<li>Physics (Biophysics)</li>&nbsp;<li>Plasma Physics</li>&nbsp;<li>Applied Physics</li>&nbsp;<li>Applied and Engineering Physics</li>&nbsp;<li>Physics-Biophysics</li>&nbsp;<li>Physics, Nuclear",Physics,2
9709,Paul Wiegmann,University of Chicago,uchicago.edu,"Physics</li>&nbsp;<li>Physics and Astronomy</li>&nbsp;<li>Physics (Biophysics)</li>&nbsp;<li>Plasma Physics</li>&nbsp;<li>Applied Physics</li>&nbsp;<li>Applied and Engineering Physics</li>&nbsp;<li>Physics-Biophysics</li>&nbsp;<li>Physics, Nuclear",Physics,2
5122,Paul L Richards,University of California Berkeley,berkeley.edu,"Physics</li>&nbsp;<li>Physics and Astronomy</li>&nbsp;<li>Physics (Biophysics)</li>&nbsp;<li>Plasma Physics</li>&nbsp;<li>Applied Physics</li>&nbsp;<li>Applied and Engineering Physics</li>&nbsp;<li>Physics-Biophysics</li>&nbsp;<li>Physics, Nuclear",Physics,2
25858,Dale J Allen,University of Maryland College Park,umd.edu,"Oceanography</li>&nbsp;<li>Atmospheric Sciences</li>&nbsp;<li>Earth and Atmospheric Sciences</li>&nbsp;<li>Earth, Atmospheric and Planetary Sciences</li>&nbsp;<li>Earth and Ocean Sciences</li>&nbsp;<li>Earth, Ocean and Atmospheric Science</li>&nbsp;<li>Atmospheric and Oceanic Sciences</li>&nbsp;<li>Ocean Sciences</li>&nbsp;<li>Meteorology",Oceanography and Atmospheric Sciences and Meteorology,2
40625,Dev Niyogi,Purdue University,purdue.edu,"Oceanography</li>&nbsp;<li>Atmospheric Sciences</li>&nbsp;<li>Earth and Atmospheric Sciences</li>&nbsp;<li>Earth, Atmospheric and Planetary Sciences</li>&nbsp;<li>Earth and Ocean Sciences</li>&nbsp;<li>Earth, Ocean and Atmospheric Science</li>&nbsp;<li>Atmospheric and Oceanic Sciences</li>&nbsp;<li>Ocean Sciences</li>&nbsp;<li>Meteorology",Oceanography and Atmospheric Sciences and Meteorology,2
27923,Thomas W Castonguay,University of Maryland College Park,umd.edu,"Nutrition</li>&nbsp;<li>Nutritional Biology</li>&nbsp;<li>Nutritional Sciences</li>&nbsp;<li>Molecular Metabolism and Nutrition</li>&nbsp;<li>Nutrition Science</li>&nbsp;<li>Molecular and Biochemical Nutrition</li>&nbsp;<li>Nutrition, Food and Exercise Science</li>&nbsp;<li>Exercise and Nutrition Sciences</li>&nbsp;<li>Nutrition, Food Studies and Public Health</li>&nbsp;<li>Human Nutrition",Nutrition,2
23051,Jacquelyn Campbell,Johns Hopkins University,jhu.edu,"Nursing Science</li>&nbsp;<li>Nursing</li>&nbsp;<li>Nursing Studies</li>&nbsp;<li>Nursing and Healthcare Innovation</li>&nbsp;<li>Environmental and Occupational Health Sciences</li>&nbsp;<li>Nursing Research and Science</li>&nbsp;<li>Nursing-Women, Children and Family Health Science</li>&nbsp;<li>Women, Child and Family Health Science Nursing</li>&nbsp;<li>Nursing Science and Theory Development</li>&nbsp;<li>Nursing Research",Nursing,2
35223,Toshio Narahashi,Northwestern University,northwestern.edu,Neuroscience</li>&nbsp;<li>Neurobiology</li>&nbsp;<li>Neuroscience and Cognitive Science</li>&nbsp;<li>Neurobiology and Behavior</li>&nbsp;<li>Computational Neuroscience</li>&nbsp;<li>Cell and Neurobiology,Neuroscience and Neurobiology,2
6385,Douglas Geers,City University of New York,cuny.edu,Music</li>&nbsp;<li>Music and Performing Arts Professions</li>&nbsp;<li>Music Education</li>&nbsp;<li>Musicology</li>&nbsp;<li>Music Theory</li>&nbsp;<li>Ethnomusicology</li>&nbsp;<li>Music Studies</li>&nbsp;<li>Music (Historical Musicology)</li>&nbsp;<li>Music (History and Literature),Music,2
59560,Matt Redinbo,University of North Carolina Chapel Hill,unc.edu,"Microbiology</li>&nbsp;<li>Microbiology, Immunology and Cancer Biology</li>&nbsp;<li>Microbiology and Molecular Genetics</li>&nbsp;<li>Microbiology, Immunology, and Molecular Genetics</li>&nbsp;<li>Microbiology ALS</li>&nbsp;<li>Molecular Microbiology and Immunology</li>&nbsp;<li>Microbiology, Molecular Biology and Biochemistry</li>&nbsp;<li>Microbiology and Immunology</li>&nbsp;<li>Microbiology MED</li>&nbsp;<li>Virology",Microbiology,2
24196,Indrek Wichman,Michigan State University,msu.edu,Mechanical Engineering</li>&nbsp;<li>Mechanical and Aerospace Engineering</li>&nbsp;<li>Engineering Sciences (Mechanical Engineering)</li>&nbsp;<li>Mechanical Engineering and Materials Science</li>&nbsp;<li>Mechanical and Aeronautical Engineering</li>&nbsp;<li>Mechanical Science and Engineering</li>&nbsp;<li>Mechanical Engineering and Applied Mechanics</li>&nbsp;<li>Engineering Mechanics</li>&nbsp;<li>Theoretical and Applied Mechanics</li>&nbsp;<li>Engineering Sciences (Applied Mechanics),Mechanical Engineering,3
22718,Yiu T Poon,Iowa State University,iastate.edu,"Mathematics</li>&nbsp;<li>Mathematics, Statistics and Computer Science</li>&nbsp;<li>Scientific Computation",Mathematics,2
7221,Kevin Costello,City University of New York,cuny.edu,"Mathematics</li>&nbsp;<li>Mathematics, Statistics and Computer Science</li>&nbsp;<li>Scientific Computation",Mathematics,2
26821,Kevin G Sellner,University of Maryland College Park,umd.edu,Marine-Estuarine-Environmental Sciences</li>&nbsp;<li>Marine biology</li>&nbsp;<li>Marine Science</li>&nbsp;<li>Marine Sciences</li>&nbsp;<li>Marine Science and Conservation</li>&nbsp;<li>Marine Estuarine Environmental Sciences</li>&nbsp;<li>Limnology and Marine Science,Marine Biology,2
33049,Rashid Khalidi,New York University,nyu.edu,Near Eastern Languages and Civilizations</li>&nbsp;<li>Near Eastern Studies</li>&nbsp;<li>Middle Eastern and Islamic Studies and History</li>&nbsp;<li>Middle Eastern Studies</li>&nbsp;<li>Middle Eastern and Islamic Studies</li>&nbsp;<li>Latin American Studies</li>&nbsp;<li>Asian Studies</li>&nbsp;<li>Islamic Studies</li>&nbsp;<li>Near and Middle Eastern Studies</li>&nbsp;<li>Near Eastern Languages and Cultures,International and Area Studies,2
65209,Marie Caputi,Walden University,waldenu.edu,Human Services</li>&nbsp;<li>Human Resources and Industrial Relations</li>&nbsp;<li>Organization and Human Resources</li>&nbsp;<li>Human Resources and Labor Relations</li>&nbsp;<li>Human Resource Education,Human Resources Management,2
4694,Kathleen Donegan,University of California Berkeley,berkeley.edu,"History</li>&nbsp;<li>History and Philosophy of Science</li>&nbsp;<li>History of Science</li>&nbsp;<li>History of American Civilization</li>&nbsp;<li>Conceptual and Historical Studies of Science</li>&nbsp;<li>History of Science, Technology and Medicine</li>&nbsp;<li>History (Science Studies)</li>&nbsp;<li>History of Science and Technology</li>&nbsp;<li>History and Sociology of Science</li>&nbsp;<li>History of Culture",History,2
25271,Tiya Miles,Michigan State University,msu.edu,"History</li>&nbsp;<li>History and Philosophy of Science</li>&nbsp;<li>History of Science</li>&nbsp;<li>History of American Civilization</li>&nbsp;<li>Conceptual and Historical Studies of Science</li>&nbsp;<li>History of Science, Technology and Medicine</li>&nbsp;<li>History (Science Studies)</li>&nbsp;<li>History of Science and Technology</li>&nbsp;<li>History and Sociology of Science</li>&nbsp;<li>History of Culture",History,2
47722,Terrence Mccabe,University of Colorado Boulder,colorado.edu,Geography</li>&nbsp;<li>Geodetic Science and Surveying</li>&nbsp;<li>Geodetic Science</li>&nbsp;<li>Geography and Geographic Information Science,Geography,2
27202,Mickey Fenzel,University of Maryland College Park,umd.edu,"Educational Studies</li>&nbsp;<li>Education Policy and Leadership</li>&nbsp;<li>Education, Leadership and Policy</li>&nbsp;<li>Educational Policy and Leadership Studies</li>&nbsp;<li>Education Leadership and Policy Analysis</li>&nbsp;<li>Educational Policy Studies</li>&nbsp;<li>Educational Leadership and Policy Studies</li>&nbsp;<li>Educational Leadership and Policy</li>&nbsp;<li>Educational Policy</li>&nbsp;<li>Education Policy, Organization and Leadership</li>&nbsp;<li>Educational Leadership",Educational Leadership,2
51687,Francisco J Buera,University of California Los Angeles,ucla.edu,Economics</li>&nbsp;<li>Applied Economics</li>&nbsp;<li>Development</li>&nbsp;<li>Economics and Business</li>&nbsp;<li>Applied Economics and Management</li>&nbsp;<li>Health Care Management and Economics</li>&nbsp;<li>Economics and International Affairs,Economics,2
2835,Mark Walker,University of Arizona,arizona.edu,Economics</li>&nbsp;<li>Applied Economics</li>&nbsp;<li>Development</li>&nbsp;<li>Economics and Business</li>&nbsp;<li>Applied Economics and Management</li>&nbsp;<li>Health Care Management and Economics</li>&nbsp;<li>Economics and International Affairs,Economics,2
53185,Carla M Dantonio,University of California Santa Barbara,ucsb.edu,"Ecology</li>&nbsp;<li>Ecology, Evolution and Marine Biology</li>&nbsp;<li>Ecology, Evolution and Organismal Biology</li>&nbsp;<li>Ecology, Evolution and Behavior</li>&nbsp;<li>Ecology and Evolutionary Biology</li>&nbsp;<li>Population Biology</li>&nbsp;<li>Behavior, Ecology, Evolution and Systematics</li>&nbsp;<li>Evolutionary Biology</li>&nbsp;<li>Ecology and Evolution</li>&nbsp;<li>Social Ecology",Ecology and Evolutionary Biology,2
44943,Keffrelyn Brown,University of Texas Austin,utexas.edu,"Education, Curriculum and Instruction</li>&nbsp;<li>Curriculum and Instruction</li>&nbsp;<li>Learning and Instruction</li>&nbsp;<li>Curriculum, Instruction and Teacher Education</li>&nbsp;<li>Instruction and Learning</li>&nbsp;<li>Instruction and Learning, Early Intervention",Curriculum and Instruction,2
57561,Ariel Dorfman,University of North Carolina Chapel Hill,unc.edu,Comparative Literature</li>&nbsp;<li>Comparative Literary Studies</li>&nbsp;<li>Comparative Studies in Discourse and Society</li>&nbsp;<li>Comparative Literature and Literary Theory</li>&nbsp;<li>Comparative Studies</li>&nbsp;<li>Comparative Literature and East Asian Languages and Cultures</li>&nbsp;<li>Comparative Cultural and Literary Studies</li>&nbsp;<li>Comparative and World Literature,Comparative Literature,2
45324,Renita Coleman,University of Texas Austin,utexas.edu,Communication</li>&nbsp;<li>Communication Studies</li>&nbsp;<li>Journalism</li>&nbsp;<li>Mass Communications</li>&nbsp;<li>Technology</li>&nbsp;<li>Journalism and Mass Communication</li>&nbsp;<li>Communication and Culture</li>&nbsp;<li>Mass Communications and Telecommunications</li>&nbsp;<li>Social and Cultural Analysis</li>&nbsp;<li>Cultural Studies</li>&nbsp;<li>Social Thought</li>&nbsp;<li>Communication Arts and Sciences - Media and Information Studies</li>&nbsp;<li>Communication Arts</li>&nbsp;<li>Philanthropic Studies,Communication,2
18833,Patricia Wittberg,Indiana University Bloomington,indiana.edu,Communication</li>&nbsp;<li>Communication Studies</li>&nbsp;<li>Journalism</li>&nbsp;<li>Mass Communications</li>&nbsp;<li>Technology</li>&nbsp;<li>Journalism and Mass Communication</li>&nbsp;<li>Communication and Culture</li>&nbsp;<li>Mass Communications and Telecommunications</li>&nbsp;<li>Social and Cultural Analysis</li>&nbsp;<li>Cultural Studies</li>&nbsp;<li>Social Thought</li>&nbsp;<li>Communication Arts and Sciences - Media and Information Studies</li>&nbsp;<li>Communication Arts</li>&nbsp;<li>Philanthropic Studies,Communication,2
41558,Kyungsoo Oh,Purdue University,purdue.edu,"Chemistry</li>&nbsp;<li>Chemistry and Chemical Biology</li>&nbsp;<li>Chemistry and Biochemistry</li>&nbsp;<li>Chemistry </li>&nbsp;<li>Chemical Biology</li>&nbsp;<li>Chemistry (Chemical Physics)</li>&nbsp;<li>Environmental Chemistry and Technology</li>&nbsp;<li>Chemistry, Physical</li>&nbsp;<li>Organic Chemistry</li>&nbsp;<li>Chemistry, Biochemistry",Chemistry,2
