batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputdupct,inputurl,answerothertxt,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2131435,39WICJI5ATMI2VT8QU6H8KDP8KS3ZX,34Z8PDG355C7V6YZ2JLDMN2K5WR5EP,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.13,1,BatchId:2131435;,900,3600,Sat Oct 24 09:20:41 PDT 2015,,,3HWRJOOET6WRY1LLBPY7J2F31JMESF,Approved,,19,100% (67/67),100% (67/67),100% (53/53),,,56244,Shelley Streeby,University of California San Diego,ucsd.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,1,,,1,1,http://literature.ucsd.edu/people/faculty/sstreeby.html,,,,1761038441000,21oct2015 09:26:44,21oct2015 09:27:03,1761042423000,1761041414000,,4,156,39,12,1
2131603,3S8APUMBJXDH096L4BRGNBVJK7FFBG,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:03 PDT 2015,,,31N2WW6R9SKFKY02GLHCTCSRL4CF3G,Approved,,359,100% (116/116),100% (116/116),100% (102/102),,,9531,Mark Strand,University of Chicago,uchicago.edu,Communication</li><li>Communication Studies</li><li>Journalism</li><li>Mass Communications</li><li>Technology</li><li>Journalism and Mass Communication</li><li>Communication and Culture</li><li>Mass Communications and Telecommunications</li><li>Social and Cultural Analysis</li><li>Cultural Studies</li><li>Social Thought</li><li>Communication Arts and Sciences - Media and Information Studies</li><li>Communication Arts</li><li>Philanthropic Studies,Communication,,http://chronicle.uchicago.edu/980305/strand.shtml,,,,,1,,,1761045063000,21oct2015 11:15:45,21oct2015 11:21:44,1761049304000,1761047102000,,49,1353,27.612246,7.8226166,1
2131603,337F8MIIMZ76I66MMEY8CQ294DA04S,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:04 PDT 2015,,,3YHH42UU5C953YB1J92RMRZ4FOF0LC,Approved,,224,100% (116/116),100% (116/116),100% (102/102),,,29404,Jisu Huh,University of Minnesota,umn.edu,Communication</li><li>Communication Studies</li><li>Journalism</li><li>Mass Communications</li><li>Technology</li><li>Journalism and Mass Communication</li><li>Communication and Culture</li><li>Mass Communications and Telecommunications</li><li>Social and Cultural Analysis</li><li>Cultural Studies</li><li>Social Thought</li><li>Communication Arts and Sciences - Media and Information Studies</li><li>Communication Arts</li><li>Philanthropic Studies,Communication,,https://sobaco.umn.edu/content/jisu-huh,,,,,1,,,1761045064000,21oct2015 11:26:45,21oct2015 11:30:29,1761049829000,1761046463000,,49,1353,27.612246,7.8226166,1
2131603,3EPG8DX9LKKR26E6H4W8WJ9VCHH5P9,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:07 PDT 2015,,,36ZN444YTSSOGEVE0R7PKC3UWNZIO4,Approved,,337,100% (116/116),100% (116/116),100% (102/102),,,49489,Reen Wu,University of California Davis,ucdavis.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",,http://www.ucdmc.ucdavis.edu/publish/providerbio/search/1025,,,,,1,,,1761045067000,21oct2015 11:11:58,21oct2015 11:17:35,1761049055000,1761046021000,,49,1353,27.612246,7.8226166,1
2131603,3BO3NEOQM0BWRQ3JZ5X5VXO5IHMIAF,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:15 PDT 2015,,,3RU7GD8VPPNVVSABK3EIDEE7FQXSPN,Approved,,299,100% (116/116),100% (116/116),100% (102/102),,,22169,Micheal D Owen,Iowa State University,iastate.edu,Entomology</li><li>Insect Science,Entomology,,http://www.agron.iastate.edu/personnel/userspage.aspx?id=171,,,,,0,,,1761045075000,21oct2015 11:11:55,21oct2015 11:16:54,1761049014000,1761045874000,,49,1353,27.612246,7.8226166,1
2131603,3X52SWXE0XZ2L0KM80XB2JN1XV5WC2,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:36 PDT 2015,,,37TD41K0AI3C1317FYSCTEF0G7JSCA,Approved,,373,100% (116/116),100% (116/116),100% (102/102),,,18386,Kim P Huynh,Indiana University Bloomington,indiana.edu,Economics</li><li>Applied Economics</li><li>Development</li><li>Economics and Business</li><li>Applied Economics and Management</li><li>Health Care Management and Economics</li><li>Economics and International Affairs,Economics,,http://college.indiana.edu/collegeNewsletter/feb10/sh.shtml,,,,,1,,,1761045096000,21oct2015 11:15:01,21oct2015 11:21:14,1761049274000,1761047524000,,49,1353,27.612246,7.8226166,1
2131603,3XDSWAMB22MX13O0WRY5AU5F9UOQCS,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:23 PDT 2015,,,3U0SRXB7CEZJRSYLPZ1LJF4GT9DNRY,Approved,,90,100% (116/116),100% (116/116),100% (102/102),,,5786,Aloke Ghosh,City University of New York,cuny.edu,"Applied Management and Decision Sciences</li><li>Business Administration</li><li>Business</li><li>Management</li><li>Administration, Leadership and Technology</li><li>Managerial Economics and Strategy</li><li>Management and Organizations</li><li>Operations Research</li><li>Operations and Information Management</li><li>Operations Research and Financial Engineering","Business Administration, Management, and Operations",,http://zicklin.baruch.cuny.edu/faculty/profiles/ghosh.html,,,,,1,,,1761045083000,21oct2015 11:11:39,21oct2015 11:13:09,1761048789000,1761047602000,,49,1353,27.612246,7.8226166,1
2131435,3FK4G712NXUPL0S9LHDAKZOYDLRSS9,34Z8PDG355C7V6YZ2JLDMN2K5WR5EP,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.13,1,BatchId:2131435;,900,3600,Sat Oct 24 09:21:13 PDT 2015,,,3I02618YA10BA52F989ISFWV0N9PUR,Approved,,44,100% (67/67),100% (67/67),100% (53/53),,,53535,Hsi C Chen,University of California Santa Barbara,ucsb.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,1,,,0,,,,,,1761038473000,21oct2015 09:27:47,21oct2015 09:28:31,1761042511000,1761041938000,,4,156,39,12,1
2131435,34F34TZU7WT3HYSL48PQ1GK7J8G2J1,34Z8PDG355C7V6YZ2JLDMN2K5WR5EP,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.13,1,BatchId:2131435;,900,3600,Sat Oct 24 09:21:10 PDT 2015,,,32Z9ZLUT1MEOKJKUU9P4K02FWABOH8,Approved,,27,100% (67/67),100% (67/67),100% (53/53),,,12753,William K Allard,Duke University,duke.edu,"Mathematics</li><li>Mathematics, Statistics and Computer Science</li><li>Scientific Computation",Mathematics,1,,,1,1,http://www.math.duke.edu/~wka/,,,,1761038470000,21oct2015 09:25:55,21oct2015 09:26:22,1761042382000,1761040147000,,4,156,39,12,1
2131603,31KPKEKW4A7Q35RV1T8VK48FE5RB09,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:21 PDT 2015,,,31Z0PCVWUL974MJQDHPRNXJ8HF5T76,Approved,,335,100% (116/116),100% (116/116),100% (102/102),,,48850,John E Bolander,University of California Davis,ucdavis.edu,"Civil Engineering</li><li>Structural Engineering</li><li>Civil, Construction and Environmental Engineering</li><li>Civil, Structural and Environmental Engineering</li><li>Environmental Engineering</li><li>Civil and Environmental Engineering</li><li>Transportation Technology and Policy</li><li>Civil and Materials Engineering</li><li>Civil Engineering(Water Resources)</li><li>Civil Engineering(Structural Engineering)",Civil and Environmental Engineering,,http://faculty.engineering.ucdavis.edu/bolander/,,,,,1,,,1761045081000,21oct2015 11:13:09,21oct2015 11:18:44,1761049124000,1761045864000,,49,1353,27.612246,7.8226166,1
