"asin","title","author"
"0199645205","The Book of Common Prayer: The Texts of 1549, 1559, and 1662 (Oxford World's Classics)","Brian Cummings"
"0819229423","Welcome to Church Music & The Hymnal 1982","Matthew Hoch"
"161949213X","Ever Increasing Faith","Smith Wigglesworth"
"006185588X","The Story of Christianity, Vol. 1: The Early Church to the Dawn of the Reformation","Justo L. Gonzalez"
"0768403642","Hosting the Presence Workbook: Unveiling Heaven's Agenda","Bill Johnson"
"1612788351","A Year of Mercy with Pope Francis: Daily Reflections","Pope Francis"
"0768405246","Hosting the Presence Every Day: 365 Days to Unveiling Heaven's Agenda for Your Life","Bill Johnson"
"B00A1AFE9G","The Evolution of Faith: How God Is Creating a Better Christianity","Philip Gulley"
"1581348878","Experiencing the Truth: Bringing the Reformation to the African-American Church","Anthony J. Carter"
"0061988219","The Pastor: A Memoir","Eugene H. Peterson"
"1400073871","North! Or Be Eaten (The Wingfeather Saga)","Andrew Peterson"
"0446568880","The Confident Woman Devotional: 365 Daily Inspirations","Joyce Meyer"
"1601374585","The Joy of the Gospel: Evangelii Gaudium (Publication / United States Conference of Catholic Bishops)","Pope Francis"
"0764212435","Undetected","Dee Henderson"
"0800698363","Martin Luther's Theology: Its Historical and Systematic Development (Theology and the Sciences)","Lohse Bernhard"
"1455514004","We Make the Road by Walking: A Year-Long Quest for Spiritual Formation, Reorientation, and Activation","Brian D. McLaren"
"1426213875","The Story of Christianity: A Chronicle of Christian Civilization From Ancient Rome to Today","Jean-Pierre Isbouts"
"1567693210","The Heroic Boldness of Martin Luther (Long Line of Godly Men Profiles)","Steven J. Lawson"
"1626361770","The Brick Bible: The Complete Set","Brendan Powell Smith"
"0310513898","PROOF: Finding Freedom through the Intoxicating Joy of Irresistible Grace","Daniel Montgomery"
"1594486298","Small Victories: Spotting Improbable Moments of Grace","Anne Lamott"
"1414329733","The One Year Love Language Minute Devotional (The One Year Signature Series)","Gary Chapman"
"0310517826","How to Read the Bible for All Its Worth: Fourth Edition","Gordon D. Fee"
"0819223212","Your Faith, Your Life: An Invitation to the Episcopal Church","Jenifer Gamber"
"1561011673","Home By Another Way","Barbara Brown Taylor"
"1433602857","Apologetics Study Bible, Hardcover","Holman Bible Staff"
"1596272430","Liturgical Sense: The Logic of Rite (Weil Series in Liturgics)","Louis Weil"
"0829441689","The Church of Mercy","Pope Francis"
"1612787738","Evangelizing Catholics: A Mission Manual for the New Evangelization","Scott Hahn"
"0310344298","The Daniel Plan: 40 Days to a Healthier Life","Rick Warren"
"1414368186","Bridge to Haven","Francine Rivers"
"1601423101","Desiring God, Revised Edition: Meditations of a Christian Hedonist","John Piper"
"0829441700","The Church of Mercy","Pope Francis"
"1472903706","Pope Francis: Untying the Knots","Paul Vallely"
"0801071941","50 People Every Christian Should Know: Learning from Spiritual Giants of the Faith","Warren W. Wiersbe"
"0770435068","On Heaven and Earth: Pope Francis on Faith, Family, and the Church in the Twenty-First Century","Jorge Mario Bergoglio"
"1626980055","The Cross and the Lynching Tree","James H. Cone"
"0300188781","David: The Divided Heart (Jewish Lives)","David Wolpe"
"1622822064","Roses Among Thorns","St. Francis de Sales"
"0310315441","One Thousand Gifts Devotional: Reflections on Finding Everyday Graces","Ann Voskamp"
"0982277040","Lucia: Saint of Light","Katherine Bolger Hyde"
"0310339308","The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series)","Lee Strobel"
