batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputasin,inputtitle,inputauthor,answeramzchk,answercomment,answerfta,answerrandgrp,answerworkurl,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2310618,372AGES0I4ZLG2EV02JSTX0UFSXXRI,377YSAKP64B9XJWINH5ITC7F5LTNM1,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310618;,1800,86400,Tue Mar 15 10:39:38 PDT 2016,,,3VJ40NV2QJHEPSBPU36TYJ53GOBOT0,Approved,,1497,100% (1/1),100% (1/1),100% (1/1),,,1433541815,John Newton: From Disgrace to Amazing Grace,Jonathan Aitken,0,||,1,ba,|https://openlibrary.org/works/OL13640306W/JOHN_NEWTON_FROM_DISGRACE_TO_AMAZING_GRACE|,,1773571178000,14mar2016 10:40:20,14mar2016 11:05:17,1773659117000,1773573213000,,1,1497,1497,.60120243,1
2310876,3MGHRFQY2LJMGDK6BLMFSF6G88T0YU,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:11 PDT 2016,,,33FBRBDW6PTUIJMY10M7CNFZDYH8CA,Approved,,181,100% (63/63),100% (19/19),100% (19/19),,,1455517445,Power Thoughts Devotional: 365 Daily Inspirations for Winning the Battle of the Mind,Joyce Meyer,0,||,0,ab,||,,1773579551000,14mar2016 13:01:25,14mar2016 13:04:26,1773666266000,1773581467000,,19,744,39.157894,22.983871,2
2310876,3SU800BH86MTNX50IIJ540RLPOEUQM,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:01 PDT 2016,,,3WETL7AQWU2NI17DA943701E5V4538,Approved,,435,100% (63/63),100% (19/19),100% (19/19),,,0199978468,The Jewish Study Bible: Second Edition,Adele Berlin,0,||,0,ab,||,,1773579541000,14mar2016 13:03:15,14mar2016 13:10:30,1773666630000,1773582048000,,19,744,39.157894,22.983871,2
2310876,308KJXFUJR0M04JUTHW994QE2SMTAO,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:10 PDT 2016,,,33L7PJKHCHSB40O9NMHX1XF31KH8TT,Approved,,334,100% (63/63),100% (19/19),100% (19/19),,,0807086037,"Thou, Dear God: Prayers That Open Hearts and Spirits",Martin Luther King Jr.,0,||,1,ab,||https://openlibrary.org/works/OL16415210W/Thou_dear_God,,1773579550000,14mar2016 13:02:21,14mar2016 13:07:55,1773666475000,1773580788000,,19,744,39.157894,22.983871,2
2310876,3YCT0L9OMM3S5N04DLWOL5ESZG7NSD,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:05 PDT 2016,,,388U7OUMF8VG6W6EOTZN8383U180RL,Approved,,345,100% (63/63),100% (19/19),100% (19/19),,,0982877218,"Forever With You (Christy & Todd, the Married Years)",Robin Jones Gunn,0,||,1,ab,||https://openlibrary.org/works/OL16820461W/Forever_With_You,,1773579545000,14mar2016 13:02:35,14mar2016 13:08:20,1773666500000,1773582161000,,19,744,39.157894,22.983871,2
2310876,33NKDW9FFXCHA0PCI5TX4218FRUXCC,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:01 PDT 2016,,,3STRJBFXOXLVZ1QAWBE0R2OUWKAKTN,Approved,,123,100% (63/63),100% (19/19),100% (19/19),,,1414348282,The One Year Uncommon Life Daily Challenge,Tony Dungy,0,||,1,aa,https://openlibrary.org/works/OL16444846W/The_One_Year_Uncommon_Life_Daily_Challenge||,,1773579541000,14mar2016 13:00:41,14mar2016 13:02:44,1773666164000,1773579930000,,19,744,39.157894,22.983871,2
2310876,36MUZ9VAE6WI9S49NWYG0JYJKLXEDM,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:14 PDT 2016,,,35GMH2SV3FBC09TS48HYZX52DFYEOC,Approved,,528,100% (63/63),100% (19/19),100% (19/19),,,1451687478,Angels Walking: A Novel,Karen Kingsbury,0,||,0,ab,||,,1773579554000,14mar2016 13:03:36,14mar2016 13:12:24,1773666744000,1773580795000,,19,744,39.157894,22.983871,2
2310876,3NSCTNUR2ZHKF284SLEB6OK0MP05A9,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:03 PDT 2016,,,3OVHNO1VE7VJ77TZAMHV9DULX70ZD6,Approved,,295,100% (63/63),100% (19/19),100% (19/19),,,1599954184,A.D. 30: A Novel,Ted Dekker,0,||,0,aa,||,,1773579543000,14mar2016 13:02:07,14mar2016 13:07:02,1773666422000,1773581734000,,19,744,39.157894,22.983871,2
2310876,35YHTYFL1GXW9N4R9SIGONPQWTFVFJ,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:00 PDT 2016,,,3TE3O857312N269S3G31RR1IRZT2R8,Approved,,517,100% (63/63),100% (19/19),100% (19/19),,,0764824104,Meditations on Vatican Art,Mark Haydu LC  STL,0,||,0,ba,||,,1773579540000,14mar2016 13:04:03,14mar2016 13:12:40,1773666760000,1773580794000,,19,744,39.157894,22.983871,2
2310876,3PN6H8C9R4KFJFNX7RWU408SZ6YDAP,3RL1BYM292E5NEL1I1KOSTF557I79C,OpenLibrary Book Search (1-3 minutes),"Given a book title and author, find its OpenLibrary page","data collection, search, books",.25,1,BatchId:2310876;,1800,86400,Tue Mar 15 12:59:05 PDT 2016,,,3U5NZHP4LSW65JWV992J9075F0MHPC,Approved,,470,100% (63/63),100% (19/19),100% (19/19),,,1433535823,Dangerous Calling: Confronting the Unique Challenges of Pastoral Ministry,Paul David Tripp,0,||,1,ba,|https://openlibrary.org/works/OL16654141W/Dangerous_calling|,,1773579545000,14mar2016 13:03:29,14mar2016 13:11:19,1773666679000,1773581738000,,19,744,39.157894,22.983871,2
